                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.5548,                  2.167,                      0,                0.75641,                 1.0053,                0.99101,                0.97382,                0.98793,                0.57531,                0.99101,                0.97382,                0.98793,                0.48828,                 1.4871,                   2.07,                      0,                0.67728,                  1.015,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.5965,                 2.1765,                      0,                0.75597,                 1.0221,                0.98408,                0.97113,                0.98783,                0.56999,                0.98428,                0.98328,                0.98705,                0.49297,                 1.4706,                 1.9739,                      0,                0.65682,                 1.0092,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.5834,                 2.1702,                      0,                0.76739,                 1.0435,                0.98926,                0.96431,                0.99003,                0.57069,                0.98929,                0.96709,                0.98605,                0.52367,                 1.5005,                 1.8143,                      0,                 0.6687,                 1.0139,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.5811,                  2.165,                      0,                0.76681,                 1.0296,                0.98043,                0.94764,                0.96463,                0.56479,                0.97859,                0.95701,                 0.9779,                0.45615,                 1.5025,                 2.1021,                      0,                0.65351,                  1.031,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.6052,                 2.0768,                      0,                0.74874,                 1.0278,                0.98938,                0.97581,                0.99281,                0.55251,                0.97877,                0.96534,                 0.9755,                0.52524,                 1.5175,                 1.8109,                      0,                0.67081,                 1.0253,              0.0017525,              0.0017525,              0.0017525
                     28,                   1.57,                 2.0923,                      0,                0.73957,                 1.0262,                0.97352,                 0.9626,                0.99181,                0.57304,                 0.9719,                0.96859,                0.98032,                0.52832,                 1.4363,                 1.7832,                      0,                0.65733,                 1.0039,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.5397,                 2.0723,                      0,                0.74321,                 1.0111,                0.99379,                0.98429,                0.98954,                0.59657,                0.98944,                0.98085,                0.98672,                 0.5044,                 1.4121,                 1.8535,                      0,                0.62709,                0.99334,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.5255,                 2.0855,                      0,                0.71021,                 1.0203,                0.97969,                0.97382,                0.98749,                0.56721,                0.97819,                0.97906,                0.97923,                0.44152,                 1.4961,                 2.1546,                      0,                0.63594,                 1.0213,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.5599,                 2.0564,                      0,                0.75004,                 1.0194,                0.97982,                0.97382,                0.98669,                0.57091,                0.97455,                0.96859,                0.97794,                0.35976,                 1.4942,                 2.4201,                      0,                0.66575,                  1.023,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.5661,                 2.0964,                      0,                0.75254,                 1.0111,                0.97923,                0.98736,                0.99343,                0.58731,                0.97404,                0.98218,                0.98591,                0.49123,                 1.4363,                 1.8874,                      0,                0.65356,                 1.0043,               0.001703,               0.001703,               0.001703
                     33,                 1.6062,                 2.0326,                      0,                0.75135,                 1.0265,                0.96877,                0.97441,                0.99199,                0.59728,                0.97862,                0.95868,                0.98283,                0.48391,                 1.4307,                 1.9406,                      0,                0.64732,                 1.0016,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.5591,                 2.0099,                      0,                0.75063,                 1.0106,                      1,                0.96254,                0.98663,                0.58022,                0.98912,                0.95216,                0.97507,                0.59724,                 1.4767,                 1.3998,                      0,                0.65641,                 1.0139,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.5759,                 2.0509,                      0,                0.76392,                  1.019,                0.98239,                0.96859,                0.98682,                0.53616,                0.96634,                0.95288,                0.96899,                0.38079,                 1.5499,                 2.2301,                      0,                0.67328,                 1.0324,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.5568,                  1.999,                      0,                0.74833,                 1.0129,                 0.9839,                0.97382,                0.98844,                0.58027,                0.97831,                0.96859,                0.98425,                 0.5272,                 1.4776,                 1.8217,                      0,                0.62831,                 1.0113,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.5402,                 1.9257,                      0,                0.74282,                 1.0276,                  0.972,                0.97906,                0.98693,                0.59346,                0.98401,                0.96677,                0.97179,                0.61968,                 1.4704,                 1.4326,                      0,                0.62991,                 1.0118,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.5416,                 1.8465,                      0,                0.74676,                 1.0068,                 0.9823,                0.96335,                0.98179,                0.56329,                0.77968,                 0.7782,                0.70376,                 0.1828,                 1.4926,                 3.2108,                      0,                0.65988,                 1.0197,              0.0016436,              0.0016436,              0.0016436
