                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.4502,                 1.3127,                      0,                0.65743,                0.99373,                0.99462,                0.96804,                0.98372,                0.59138,                0.91543,                0.90673,                0.88317,                0.73798,                  1.455,                 1.0566,                      0,                0.58885,                0.99688,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.4642,                 1.2731,                      0,                0.67242,                0.97868,                0.98678,                0.98429,                0.98958,                0.58805,                0.83858,                 0.8377,                0.78001,                0.48546,                 1.4582,                 1.9952,                      0,                0.58961,                0.99449,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.4727,                 1.3535,                      0,                0.67819,                0.99052,                0.98735,                0.98953,                0.98988,                0.59034,                0.88282,                0.88482,                0.85215,                0.73392,                 1.4193,                 1.1163,                      0,                0.60643,                0.99081,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.4447,                 1.2744,                      0,                0.67205,                0.97566,                0.99526,                0.98953,                0.98976,                0.59792,                0.90253,                0.89529,                0.86336,                0.70647,                 1.4148,                 1.2207,                      0,                0.58225,                0.98851,              0.0010298,              0.0010298,              0.0010298
                    101,                  1.438,                 1.2257,                      0,                0.64768,                0.97825,                0.99022,                0.98429,                0.98965,                0.59516,                0.74222,                0.73822,                0.66889,                0.38025,                 1.4585,                 2.7057,                      0,                0.58182,                0.99471,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.4392,                 1.2561,                      0,                0.65706,                0.98752,                0.99814,                0.98953,                0.99018,                0.61106,                0.90442,                0.89529,                0.86813,                0.77028,                 1.4085,                  1.088,                      0,                0.57274,                0.98479,                0.00101,                0.00101,                0.00101
                    103,                 1.4184,                 1.3092,                      0,                0.65091,                0.98087,                0.99378,                0.98953,                0.99018,                0.60912,                 0.8842,                0.87958,                0.86406,                0.69074,                 1.4091,                 1.3722,                      0,                0.57986,                0.98551,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.4142,                 1.2807,                      0,                0.64194,                0.97913,                0.99463,                0.96953,                0.98152,                0.56238,                0.93032,                0.90052,                0.88842,                0.52998,                 1.4707,                 1.6507,                      0,                0.58005,                0.99934,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.4152,                 1.3064,                      0,                0.66244,                0.97429,                 0.9958,                0.97906,                0.98605,                0.57797,                0.93278,                0.91623,                0.87026,                0.69251,                 1.4524,                 1.0601,                      0,                0.58772,                0.99291,              0.0009803,              0.0009803,              0.0009803
                    106,                 1.4252,                 1.2636,                      0,                0.65589,                0.98554,                0.99291,                0.97906,                0.99271,                 0.6018,                0.90795,                0.89529,                0.85429,                0.58808,                 1.4459,                 1.5442,                      0,                 0.5877,                0.99065,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.4082,                 1.2297,                      0,                0.64398,                0.97688,                0.99797,                0.97906,                0.99221,                0.60113,                0.92859,                0.91099,                0.89331,                0.71603,                  1.415,                 1.0777,                      0,                0.57488,                0.98668,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.4103,                 1.0997,                      0,                0.63715,                0.97597,                0.98063,                0.98429,                0.98967,                0.60963,                0.88209,                0.86387,                0.84558,                0.76876,                  1.441,                 1.0735,                      0,                0.58735,                0.99286,              0.0009506,              0.0009506,              0.0009506
                    109,                 1.4306,                  1.266,                      0,                0.65161,                0.98643,                0.99756,                0.98429,                0.99099,                0.61164,                 0.9164,                0.90052,                0.87148,                  0.589,                 1.4197,                 1.5331,                      0,                0.57123,                 0.9881,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.4404,                 1.2397,                      0,                0.66463,                0.98027,                0.99343,                0.98429,                0.99098,                 0.6078,                0.90857,                0.88452,                0.86857,                0.62475,                 1.4229,                 1.4763,                      0,                0.56997,                0.98547,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.4322,                  1.214,                      0,                0.63929,                0.98656,                0.99345,                0.97906,                0.98801,                0.59591,                0.90832,                0.89529,                0.86839,                0.75231,                 1.3943,                 1.0425,                      0,                0.58026,                0.97842,              0.0009209,              0.0009209,              0.0009209
                    112,                 1.4065,                 1.1944,                      0,                0.63934,                0.97915,                0.99472,                0.98578,                0.98844,                0.58331,                0.91063,                0.90052,                0.86835,                0.64653,                 1.4078,                 1.2683,                      0,                0.59223,                0.98089,               0.000911,               0.000911,               0.000911
                    113,                 1.4379,                 1.1502,                      0,                0.65549,                0.98688,                0.98863,                0.98953,                0.99149,                0.57944,                0.87748,                0.86243,                0.81623,                0.69006,                 1.4438,                 1.1425,                      0,                0.59954,                 0.9912,              0.0009011,              0.0009011,              0.0009011
                    114,                 1.4384,                 1.1627,                      0,                0.64983,                0.98663,                0.99528,                0.97382,                0.98974,                0.60253,                0.88952,                0.86911,                0.82548,                0.69981,                  1.427,                 1.0665,                      0,                0.58366,                0.99386,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.4202,                 1.1544,                      0,                0.65415,                0.98917,                0.99468,                0.97838,                0.98373,                0.58241,                0.92006,                0.90389,                0.87008,                0.77335,                 1.4367,                0.89825,                      0,                0.59433,                 0.9918,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.4172,                 1.1222,                      0,                0.63925,                0.97386,                0.99983,                0.97906,                0.98915,                 0.6057,                0.93061,                 0.9128,                0.88932,                0.75159,                  1.403,                0.98065,                      0,                0.56819,                0.98263,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.4346,                 1.1319,                      0,                0.63698,                 1.0017,                0.99893,                0.97906,                0.98932,                0.58401,                0.91321,                0.89529,                0.85327,                0.62342,                 1.4447,                 1.3472,                      0,                0.57935,                0.99231,              0.0008615,              0.0008615,              0.0008615
                    118,                 1.4177,                 1.1914,                      0,                0.65228,                0.97319,                 0.9972,                0.98429,                0.98911,                0.59469,                0.89736,                0.88482,                0.83183,                0.68245,                  1.452,                 1.1546,                      0,                0.61323,                0.98653,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.4248,                 1.1079,                      0,                0.64984,                 0.9709,                0.99043,                0.97906,                0.98578,                0.60766,                0.89511,                0.87435,                0.84059,                0.70811,                 1.4212,                 1.0936,                      0,                0.58832,                0.98468,              0.0008417,              0.0008417,              0.0008417
                    120,                 1.3965,                  1.101,                      0,                0.63169,                0.97577,                0.99785,                0.98429,                0.99077,                0.61529,                0.89284,                0.87958,                0.84555,                0.63917,                  1.444,                  1.408,                      0,                0.55963,                0.99009,              0.0008318,              0.0008318,              0.0008318
                    121,                  1.432,                 1.1742,                      0,                0.63732,                0.96774,                0.99435,                0.98429,                0.99087,                0.60054,                0.90327,                0.89005,                  0.871,                0.73196,                 1.4996,                 1.0836,                      0,                0.58324,                 1.0101,              0.0008219,              0.0008219,              0.0008219
                    122,                 1.4399,                 1.2648,                      0,                0.65953,                0.98967,                0.98939,                0.97659,                0.98636,                0.58574,                0.90456,                0.89323,                0.87753,                  0.702,                 1.4896,                 1.1079,                      0,                0.58909,                 1.0082,               0.000812,               0.000812,               0.000812
                    123,                 1.4245,                 1.0771,                      0,                0.63874,                0.99606,                0.98484,                0.98429,                0.99038,                0.59188,                0.82861,                0.82723,                0.75358,                 0.4964,                 1.4639,                 2.0894,                      0,                0.58166,                0.99483,              0.0008021,              0.0008021,              0.0008021
                    124,                  1.424,                  1.165,                      0,                0.63873,                0.99183,                  0.984,                0.98429,                0.98397,                0.58632,                0.91034,                0.89529,                 0.8748,                 0.6794,                 1.4146,                 1.2393,                      0,                0.58119,                0.98895,              0.0007922,              0.0007922,              0.0007922
                    125,                 1.4175,                 1.1707,                      0,                0.62972,                 0.9798,                0.99468,                 0.9788,                0.98533,                0.59009,                0.90412,                0.88867,                0.86291,                0.71525,                 1.4331,                 1.1656,                      0,                0.58266,                0.98929,              0.0007823,              0.0007823,              0.0007823
                    126,                 1.4127,                 1.0369,                      0,                0.63273,                0.97478,                0.98943,                0.98047,                0.98535,                0.60719,                0.91753,                0.90052,                 0.8639,                0.75656,                 1.4033,                0.95929,                      0,                0.56407,                0.98328,              0.0007724,              0.0007724,              0.0007724
                    127,                  1.421,                 1.0617,                      0,                0.62491,                0.98646,                0.99391,                0.97382,                0.99172,                0.60603,                0.80333,                0.79058,                0.72682,                0.45827,                  1.438,                 2.1613,                      0,                0.57987,                0.99136,              0.0007625,              0.0007625,              0.0007625
                    128,                 1.4039,                 1.0528,                      0,                0.62681,                0.95941,                      1,                0.98346,                0.99028,                0.60297,                0.93616,                0.92135,                0.89683,                0.73861,                 1.4244,                0.90068,                      0,                0.58092,                0.98532,              0.0007526,              0.0007526,              0.0007526
                    129,                  1.377,                 1.0066,                      0,                0.61474,                0.97507,                0.99487,                0.97906,                 0.9924,                 0.6074,                0.90425,                0.88997,                   0.87,                0.77233,                 1.4384,                0.98954,                      0,                0.56179,                0.99216,              0.0007427,              0.0007427,              0.0007427
                    130,                 1.4179,                 1.1307,                      0,                0.63044,                0.96911,                0.99813,                0.97906,                0.99154,                0.61081,                0.92329,                0.90576,                0.89087,                 0.7238,                 1.4433,                 1.1143,                      0,                0.56969,                0.99199,              0.0007328,              0.0007328,              0.0007328
                    131,                 1.3998,                 1.0686,                      0,                0.62183,                0.99093,                0.99179,                0.98429,                0.98837,                0.59478,                 0.8784,                0.86911,                0.82294,                0.58242,                  1.414,                 1.5233,                      0,                0.56283,                0.98838,              0.0007229,              0.0007229,              0.0007229
                    132,                 1.4237,                 1.0254,                      0,                0.63125,                0.96931,                0.99472,                0.98729,                0.99231,                0.60867,                0.89086,                0.88482,                 0.8466,                0.69936,                 1.4029,                 1.1478,                      0,                0.57366,                 0.9831,               0.000713,               0.000713,               0.000713
                    133,                 1.4097,                 1.0205,                      0,                0.62268,                0.96386,                0.98951,                0.98756,                0.99247,                0.59672,                0.88893,                0.87435,                0.81949,                0.68062,                 1.4154,                 1.1318,                      0,                0.56701,                0.98496,              0.0007031,              0.0007031,              0.0007031
                    134,                 1.3868,                 1.0465,                      0,                0.61882,                 0.9676,                0.99285,                0.97906,                0.99029,                0.60914,                0.85462,                0.84293,                0.78547,                0.61914,                 1.4212,                 1.4546,                      0,                0.55446,                0.98696,              0.0006932,              0.0006932,              0.0006932
                    135,                 1.3746,                 1.0944,                      0,                0.61559,                0.96898,                0.99471,                0.98456,                 0.9936,                0.61964,                0.90744,                0.89005,                0.88022,                 0.6725,                 1.4108,                 1.2469,                      0,                0.55503,                0.98457,              0.0006833,              0.0006833,              0.0006833
                    136,                  1.405,                0.99359,                      0,                0.62139,                0.97704,                0.99692,                0.98429,                0.99312,                0.61537,                0.89813,                0.88482,                 0.8629,                0.75083,                    1.4,                0.90566,                      0,                0.54738,                0.98055,              0.0006734,              0.0006734,              0.0006734
                    137,                 1.3939,                  1.042,                      0,                0.61467,                0.97954,                  0.994,                0.98953,                0.98998,                0.59451,                0.89515,                0.88482,                0.84471,                0.71714,                  1.429,                0.96664,                      0,                 0.5629,                0.98274,              0.0006635,              0.0006635,              0.0006635
                    138,                 1.4214,                 1.0316,                      0,                0.63614,                0.97375,                0.98977,                0.98953,                0.99271,                0.58969,                0.90993,                0.89919,                0.84994,                0.69081,                  1.435,                0.97585,                      0,                0.56811,                0.98134,              0.0006536,              0.0006536,              0.0006536
                    139,                 1.4075,                 1.0503,                      0,                0.63005,                0.97273,                0.99266,                0.97906,                0.98927,                0.59183,                0.89644,                0.88482,                0.82535,                0.61961,                 1.4082,                 1.2424,                      0,                0.56327,                0.98019,              0.0006437,              0.0006437,              0.0006437
                    140,                 1.3809,                  1.109,                      0,                0.62055,                0.96101,                0.99467,                0.97725,                0.99125,                0.59556,                0.88098,                0.86387,                0.83668,                0.74306,                  1.431,                 1.0643,                      0,                0.56638,                0.98716,              0.0006338,              0.0006338,              0.0006338
                    141,                 1.3827,                 1.0334,                      0,                0.61135,                0.96666,                0.99069,                0.98429,                0.99206,                0.60546,                0.86771,                0.85864,                0.83157,                0.76189,                 1.4272,                  1.117,                      0,                0.55533,                0.98912,              0.0006239,              0.0006239,              0.0006239
                    142,                 1.3666,                  1.023,                      0,                0.60961,                0.96082,                0.99783,                0.97906,                0.99191,                0.60788,                0.84861,                0.83246,                0.79189,                0.54341,                 1.4464,                 1.8068,                      0,                0.55104,                0.99363,               0.000614,               0.000614,               0.000614
                    143,                 1.3585,                 1.0241,                      0,                0.60648,                0.97087,                      1,                0.98691,                 0.9904,                0.61634,                0.92322,                0.90576,                0.87204,                0.68222,                 1.4056,                 1.0806,                      0,                0.54292,                0.98279,              0.0006041,              0.0006041,              0.0006041
                    144,                  1.375,                 1.0257,                      0,                0.60958,                0.97642,                      1,                0.98806,                0.99034,                0.62204,                0.89066,                0.87435,                0.83072,                0.67306,                 1.3963,                 1.1341,                      0,                0.53578,                0.98065,              0.0005942,              0.0005942,              0.0005942
                    145,                 1.3492,                 1.0004,                      0,                0.60659,                 0.9693,                      1,                0.98876,                0.99086,                0.61659,                   0.91,                0.89994,                0.85981,                0.72122,                  1.417,                0.96655,                      0,                0.54332,                0.98523,              0.0005843,              0.0005843,              0.0005843
                    146,                 1.3679,                 1.0011,                      0,                0.60861,                0.95942,                 0.9956,                0.98429,                0.99068,                0.61544,                 0.8995,                0.89031,                0.86629,                 0.7765,                 1.4284,                0.90188,                      0,                0.55387,                 0.9857,              0.0005744,              0.0005744,              0.0005744
                    147,                  1.392,                 1.0591,                      0,                0.61673,                0.95322,                      1,                0.98799,                0.99298,                0.60303,                0.88796,                0.87435,                0.85102,                0.72821,                 1.4244,                 1.1136,                      0,                0.57385,                0.98409,              0.0005645,              0.0005645,              0.0005645
                    148,                  1.377,                0.99896,                      0,                0.61962,                0.95927,                0.98902,                0.98429,                0.99286,                 0.5974,                0.92096,                0.90052,                0.88334,                 0.7243,                 1.4147,                0.98679,                      0,                0.56297,                0.97954,              0.0005546,              0.0005546,              0.0005546
                    149,                 1.3776,                  1.033,                      0,                 0.6157,                 0.9536,                0.99467,                 0.9778,                0.99176,                0.59485,                 0.9197,                0.89945,                0.86253,                0.75584,                 1.4337,                0.87239,                      0,                0.56009,                0.98612,              0.0005447,              0.0005447,              0.0005447
                    150,                 1.3569,                0.85823,                      0,                0.60273,                0.95999,                0.99467,                0.97729,                0.99216,                0.59472,                0.88179,                0.86387,                0.80859,                0.60179,                 1.4409,                 1.4903,                      0,                0.55338,                0.98696,              0.0005348,              0.0005348,              0.0005348
                    151,                 1.3933,                0.90259,                      0,                0.60721,                0.98061,                0.99847,                0.97906,                0.99283,                0.60707,                0.89699,                0.87958,                 0.8369,                0.73001,                 1.4174,                0.95715,                      0,                0.55371,                0.98324,              0.0005249,              0.0005249,              0.0005249
                    152,                 1.3598,                0.94467,                      0,                0.60297,                0.96023,                0.99467,                0.97756,                0.98539,                0.61181,                 0.8751,                0.85864,                0.80396,                0.71251,                 1.4161,                  1.062,                      0,                0.55414,                0.98234,               0.000515,               0.000515,               0.000515
                    153,                 1.3428,                0.92097,                      0,                0.61066,                 0.9533,                0.99832,                0.97906,                0.98962,                0.59535,                0.91276,                0.89529,                 0.8519,                0.65403,                 1.4395,                 1.1624,                      0,                 0.5593,                 0.9863,              0.0005051,              0.0005051,              0.0005051
                    154,                 1.3674,                0.96069,                      0,                0.60318,                 0.9651,                 0.9986,                0.97906,                 0.9903,                0.60341,                0.84959,                0.83246,                0.76805,                0.58201,                 1.4261,                 1.5324,                      0,                0.54075,                0.98674,              0.0004952,              0.0004952,              0.0004952
                    155,                 1.3667,                0.98096,                      0,                0.59581,                0.96845,                0.99834,                0.97382,                0.99217,                0.60369,                0.88023,                0.85864,                0.81313,                0.71759,                 1.4296,                 1.0244,                      0,                0.55661,                0.98526,              0.0004853,              0.0004853,              0.0004853
                    156,                 1.3918,                0.94215,                      0,                0.61262,                0.96716,                      1,                0.98415,                0.99117,                0.59128,                0.87621,                0.85864,                0.80112,                0.64114,                 1.4322,                  1.309,                      0,                0.55329,                0.98548,              0.0004754,              0.0004754,              0.0004754
                    157,                 1.3659,                 0.9664,                      0,                0.60605,                0.97393,                      1,                0.98399,                0.98988,                0.59822,                0.90205,                0.88482,                0.84198,                0.68206,                 1.4288,                 1.0825,                      0,                0.55641,                0.98257,              0.0004655,              0.0004655,              0.0004655
                    158,                 1.3447,                0.92112,                      0,                0.60041,                0.96856,                0.99852,                0.98953,                0.99236,                0.59894,                0.89097,                0.87435,                0.83079,                0.71924,                 1.4067,                0.98272,                      0,                 0.5399,                0.98145,              0.0004556,              0.0004556,              0.0004556
                    159,                 1.3601,                0.90506,                      0,                0.60154,                0.96092,                      1,                0.98384,                0.99266,                0.60353,                0.86972,                 0.8534,                0.80865,                0.70639,                  1.431,                 1.1457,                      0,                0.54574,                0.98706,              0.0004457,              0.0004457,              0.0004457
                    160,                 1.3946,                0.91072,                      0,                0.59575,                0.97322,                0.99472,                0.98583,                0.99077,                0.60162,                0.90708,                0.89005,                0.85483,                0.71538,                 1.4162,                   1.02,                      0,                0.54105,                0.98501,              0.0004358,              0.0004358,              0.0004358
                    161,                 1.3727,                0.93017,                      0,                0.59922,                0.97374,                0.99473,                 0.9879,                 0.9904,                0.60597,                0.90748,                0.88482,                0.84511,                0.71872,                 1.4124,                0.97917,                      0,                0.53562,                0.98366,              0.0004259,              0.0004259,              0.0004259
                    162,                 1.3526,                0.86948,                      0,                0.59622,                0.96482,                0.99843,                0.98953,                0.99251,                0.60731,                0.87335,                 0.8534,                 0.8023,                 0.6495,                 1.3982,                 1.3307,                      0,                 0.5453,                0.98147,               0.000416,               0.000416,               0.000416
                    163,                 1.3822,                0.97333,                      0,                0.60222,                0.97194,                      1,                0.98873,                0.98988,                 0.5975,                0.90367,                 0.8841,                0.83729,                0.70989,                 1.4297,                0.99539,                      0,                0.54825,                0.98714,              0.0004061,              0.0004061,              0.0004061
                    164,                 1.3537,                0.87518,                      0,                0.59634,                0.95559,                 0.9947,                0.98233,                0.98522,                 0.5943,                0.90741,                0.89005,                0.84372,                0.72205,                 1.4373,                0.97988,                      0,                0.54448,                  0.989,              0.0003962,              0.0003962,              0.0003962
                    165,                 1.3716,                0.87492,                      0,                0.59946,                0.96154,                      1,                0.98377,                 0.9896,                0.59506,                0.90175,                0.88482,                0.83889,                0.69525,                 1.4193,                   1.08,                      0,                0.54627,                 0.9851,              0.0003863,              0.0003863,              0.0003863
                    166,                 1.3511,                0.87389,                      0,                 0.5925,                0.95581,                0.99472,                0.98544,                0.98974,                0.59884,                0.88889,                0.87435,                0.82165,                0.70167,                 1.4257,                 1.0563,                      0,                0.54392,                  0.987,              0.0003764,              0.0003764,              0.0003764
                    167,                 1.3501,                0.87259,                      0,                0.59007,                0.95653,                0.98947,                0.98351,                 0.9904,                0.60633,                0.89086,                0.87435,                0.82918,                0.75048,                 1.4249,                0.91984,                      0,                0.54998,                0.98679,              0.0003665,              0.0003665,              0.0003665
                    168,                 1.3274,                0.89524,                      0,                0.58638,                 0.9559,                0.99468,                 0.9786,                 0.9904,                0.60497,                 0.8868,                0.86911,                  0.848,                 0.7507,                 1.4228,                 1.0293,                      0,                0.54852,                0.98402,              0.0003566,              0.0003566,              0.0003566
                    169,                 1.3557,                0.90148,                      0,                0.59485,                 0.9634,                0.99643,                0.97906,                0.99077,                0.60202,                0.90689,                0.89005,                0.85855,                0.72025,                 1.4208,                 1.0691,                      0,                0.54293,                0.98453,              0.0003467,              0.0003467,              0.0003467
                    170,                 1.3313,                0.84606,                      0,                0.59556,                0.92743,                 0.9895,                0.98647,                0.99099,                0.60638,                0.86164,                0.84817,                0.81391,                0.61296,                 1.4216,                 1.4957,                      0,                 0.5374,                0.98328,              0.0003368,              0.0003368,              0.0003368
                    171,                 1.3655,                0.79393,                      0,                0.60505,                0.95829,                0.99435,                0.98953,                0.99063,                0.61403,                0.87997,                0.86387,                0.81786,                0.68569,                 1.4179,                 1.1973,                      0,                0.54479,                0.98105,              0.0003269,              0.0003269,              0.0003269
                    172,                 1.3397,                0.85845,                      0,                0.59663,                0.94842,                0.98936,                0.97378,                0.98605,                0.60814,                0.88034,                0.86387,                0.80242,                0.67909,                 1.4089,                 1.1406,                      0,                0.55446,                0.98096,               0.000317,               0.000317,               0.000317
                    173,                 1.3464,                 0.8615,                      0,                0.59665,                 0.9708,                0.98517,                0.96859,                0.98609,                0.61102,                0.89279,                0.87435,                0.81335,                0.68596,                 1.4203,                 1.0763,                      0,                0.55613,                0.98398,              0.0003071,              0.0003071,              0.0003071
                    174,                   1.35,                0.79394,                      0,                0.58874,                0.95244,                0.99468,                 0.9783,                0.99111,                0.60726,                0.87022,                 0.8534,                0.79106,                0.66196,                 1.4325,                 1.1736,                      0,                0.54614,                0.98654,              0.0002972,              0.0002972,              0.0002972
                    175,                 1.3387,                0.81901,                      0,                0.58892,                 0.9543,                0.99109,                0.98953,                0.99176,                0.60642,                0.84325,                0.82723,                0.76463,                0.59967,                 1.4101,                 1.5249,                      0,                0.54329,                0.98306,              0.0002873,              0.0002873,              0.0002873
                    176,                 1.3561,                0.79654,                      0,                0.58941,                 0.9524,                 0.9955,                0.97906,                0.99061,                0.61651,                0.89106,                0.87435,                0.82405,                0.71982,                 1.3962,                0.97835,                      0,                0.53911,                 0.9801,              0.0002774,              0.0002774,              0.0002774
                    177,                 1.3473,                0.85815,                      0,                0.59215,                0.96922,                 0.9975,                0.97906,                0.99023,                 0.6041,                0.89063,                0.87435,                0.82073,                0.71441,                 1.4166,                0.98182,                      0,                0.54925,                0.98257,              0.0002675,              0.0002675,              0.0002675
                    178,                 1.3331,                0.77514,                      0,                0.58523,                0.95152,                 0.9875,                0.98429,                 0.9859,                0.60473,                0.89605,                0.87958,                0.82661,                0.70346,                 1.4289,                 1.0339,                      0,                0.54603,                0.98318,              0.0002576,              0.0002576,              0.0002576
                    179,                  1.328,                0.82617,                      0,                0.58787,                0.96495,                0.99149,                0.97906,                0.98621,                0.61001,                0.89828,                0.87849,                0.83224,                0.70883,                 1.3997,                 1.0785,                      0,                0.53596,                0.97842,              0.0002477,              0.0002477,              0.0002477
                    180,                   1.34,                0.80331,                      0,                0.58484,                 0.9625,                      1,                0.98404,                0.99179,                0.61226,                0.87683,                0.85722,                0.81558,                0.68504,                 1.3976,                 1.2121,                      0,                0.53911,                0.97882,              0.0002378,              0.0002378,              0.0002378
                    181,                 1.3396,                0.76006,                      0,                0.58605,                0.97168,                0.99464,                0.98953,                0.99155,                0.60438,                0.87565,                0.85864,                0.81771,                0.67941,                 1.4023,                 1.2178,                      0,                0.54052,                0.97998,              0.0002279,              0.0002279,              0.0002279
                    182,                 1.3466,                0.83307,                      0,                 0.5857,                0.95114,                0.99253,                0.98429,                0.98697,                0.61194,                0.89045,                0.87435,                0.84269,                0.69713,                 1.4013,                 1.1404,                      0,                0.54197,                0.97655,               0.000218,               0.000218,               0.000218
                    183,                 1.3211,                0.75144,                      0,                 0.5803,                0.96458,                0.99906,                0.98953,                0.99062,                0.60637,                0.88035,                0.86387,                0.81758,                0.71618,                 1.4104,                 1.0447,                      0,                0.53525,                 0.9774,              0.0002081,              0.0002081,              0.0002081
                    184,                 1.3144,                0.74924,                      0,                0.56888,                0.95616,                 0.9947,                 0.9835,                0.98872,                0.61048,                0.89692,                0.87958,                0.83148,                0.73414,                 1.4104,                0.95504,                      0,                0.53183,                0.98087,              0.0001982,              0.0001982,              0.0001982
                    185,                 1.3505,                0.79098,                      0,                0.58735,                0.95891,                0.99469,                0.98092,                0.98648,                0.60975,                0.90223,                0.88482,                0.84077,                0.73625,                 1.4056,                0.92763,                      0,                0.53287,                0.98132,              0.0001883,              0.0001883,              0.0001883
                    186,                 1.3357,                0.80215,                      0,                 0.5841,                0.95499,                0.99467,                0.97795,                0.98631,                0.61161,                0.89163,                0.87435,                0.83191,                0.74855,                 1.4089,                  0.924,                      0,                0.53406,                0.97962,              0.0001784,              0.0001784,              0.0001784
                    187,                 1.3383,                0.78486,                      0,                0.58692,                0.95331,                0.99468,                0.97866,                0.98898,                0.61345,                0.89665,                0.87958,                0.84426,                0.72231,                 1.4071,                0.96965,                      0,                0.53003,                0.98056,              0.0001685,              0.0001685,              0.0001685
                    188,                   1.33,                0.74483,                      0,                0.57855,                0.96096,                0.99468,                0.97891,                0.98922,                0.61163,                0.86412,                0.84817,                0.80001,                0.65059,                 1.3975,                 1.3151,                      0,                0.53032,                0.98005,              0.0001586,              0.0001586,              0.0001586
                    189,                 1.3398,                0.77243,                      0,                 0.5794,                0.96223,                0.99893,                0.98953,                0.99188,                0.61358,                0.86476,                0.84817,                0.80204,                0.65279,                  1.389,                  1.295,                      0,                0.53067,                0.97783,              0.0001487,              0.0001487,              0.0001487
                    190,                 1.3401,                0.76869,                      0,                0.59018,                0.95631,                0.99386,                0.98429,                0.98699,                0.60824,                0.88093,                0.86387,                0.81271,                0.70013,                 1.3953,                 1.0788,                      0,                0.53527,                0.97739,              0.0001388,              0.0001388,              0.0001388
                    191,                 1.2962,                0.72415,                      0,                0.56385,                0.96976,                0.98946,                 0.9826,                0.98809,                0.60082,                 0.8641,                 0.8534,                0.78932,                0.69542,                  1.395,                 1.1056,                      0,                0.54638,                0.97737,              0.0001289,              0.0001289,              0.0001289
                    192,                 1.3027,                 0.7819,                      0,                0.55781,                 0.9626,                0.98422,                0.97974,                0.98707,                0.60017,                0.85911,                0.84817,                0.78795,                0.69783,                 1.4034,                 1.1323,                      0,                0.54967,                0.97837,               0.000119,               0.000119,               0.000119
                    193,                 1.3011,                0.73394,                      0,                0.54503,                0.97227,                 0.9947,                0.98301,                0.99018,                0.60089,                0.85526,                0.84293,                0.78304,                0.70473,                 1.4161,                 1.1312,                      0,                0.55075,                0.97955,              0.0001091,              0.0001091,              0.0001091
                    194,                 1.3137,                0.76107,                      0,                0.54984,                0.98416,                 0.9971,                0.97906,                0.99081,                0.60452,                0.86432,                0.84817,                0.79166,                 0.7069,                 1.4189,                 1.0938,                      0,                0.54784,                0.97951,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                 1.3065,                0.73467,                      0,                 0.5475,                0.97461,                 0.9947,                0.98266,                0.98729,                0.60602,                0.87423,                0.85864,                0.80231,                0.70231,                 1.4108,                 1.0566,                      0,                0.53858,                0.98172,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                 1.3091,                0.73895,                      0,                0.55775,                0.97434,                 0.9947,                0.98328,                0.98737,                0.60469,                0.88462,                0.86911,                0.81446,                0.70483,                  1.411,                 1.0553,                      0,                0.54007,                0.98297,               7.94e-05,               7.94e-05,               7.94e-05
